id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
okb,okb,OKB,https://coin-images.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1696505053,17433.71,366087747432,44,366087747432,29126742468.0,18942.95,17201.14,-1464.4120562772332,-7.74898,-30818715847.836426,-7.76473,21000000.0,21000000.0,21000000.0,22313.0,-21.92847,2025-08-22T01:56:37.898Z,40.86,42531.72308,2019-01-14T00:00:00.000Z,,2025-08-24T07:23:01.138Z
ethereum-classic,etc,Ethereum Classic,https://coin-images.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1696501717,2047.32,313750087431,45,313764679703,13288807041.0,2121.31,2046.12,-58.786628717789426,-2.79125,-8992478193.653748,-2.78627,153229177.3025606,153236303.8718339,210700000.0,12296.58,-83.34412,2021-05-06T18:34:22.133Z,41.44,4842.873,2016-07-25T00:00:00.000Z,"{'times': 51.09647624256324, 'currency': 'usd', 'percentage': 5109.647624256325}",2025-08-24T07:23:01.229Z
bittensor,tao,Bittensor,https://coin-images.coingecko.com/coins/images/28452/large/ARUsPeNQ_400x400.jpeg?1696527447,31124.0,298707652863,46,653593810102,4200414324.0,31898.0,31110.0,-585.3281843005061,-1.84591,-5738613803.97644,-1.88493,9597491.0,21000000.0,21000000.0,62722.0,-50.40023,2024-12-06T12:15:28.199Z,2535.93,1126.76964,2023-05-14T08:57:53.732Z,,2025-08-24T07:23:00.819Z
near,near,NEAR Protocol,https://coin-images.coingecko.com/coins/images/10365/large/near.jpg?1696510367,230.46,288042874499,47,292212821846,10732977655.0,236.99,230.07,-4.114874368483925,-1.75421,-5488120656.000122,-1.86969,1249143538.0,1267227175.0,,1518.16,-84.81865,2022-01-16T22:09:45.873Z,39.17,488.37334,2020-11-04T16:09:15.137Z,,2025-08-24T07:23:01.311Z
aptos,apt,Aptos,https://coin-images.coingecko.com/coins/images/26455/large/aptos_round.png?1696525528,403.72,276995315666,48,472989460745,30968856823.0,416.74,403.29,-6.850274539263637,-1.66846,-4635877634.542419,-1.64608,686103106.3912659,1171570492.182718,,1622.34,-75.14162,2023-01-26T14:25:17.390Z,255.21,58.02107,2022-12-29T21:35:14.796Z,,2025-08-24T07:22:51.728Z
jito-staked-sol,jitosol,Jito Staked SOL,https://coin-images.coingecko.com/coins/images/28046/large/JitoSOL-200.png?1696527060,22177.0,273928901112,49,273928901112,3535391958.0,22489.0,21478.0,132.94,0.60306,463112400.0,0.16935,12347619.74941359,12347619.74941359,,29397.0,-24.57509,2025-01-19T11:21:54.080Z,48.02,46073.42896,2023-09-12T10:21:17.665Z,,2025-08-24T07:23:01.271Z
ondo-finance,ondo,Ondo,https://coin-images.coingecko.com/coins/images/26580/large/ONDO.png?1696525656,85.86,271314026981,50,858831250568,11826494138.0,88.34,85.79,-2.4730223174959605,-2.79952,-7550146508.759155,-2.70746,3159107529.0,10000000000.0,10000000000.0,181.52,-52.73806,2024-12-16T00:36:00.777Z,6.83,1155.75172,2024-01-18T12:14:30.524Z,,2025-08-24T07:23:01.139Z
arbitrum,arb,Arbitrum,https://coin-images.coingecko.com/coins/images/16547/large/arb.jpg?1721358242,50.44,267235608527,51,504619915672,55266889807.0,54.07,50.35,-1.0054706687737465,-1.95427,-4927452616.449158,-1.81048,5295780056.0,10000000000.0,10000000000.0,198.19,-74.59272,2024-01-12T12:29:59.231Z,21.09,138.77764,2025-04-07T07:01:34.124Z,,2025-08-24T07:23:00.905Z
binance-peg-weth,weth,Binance-Peg WETH,https://coin-images.coingecko.com/coins/images/39580/large/weth.png?1723006716,415421.0,251220356022,52,251220356022,4167013716.0,419420.0,410182.0,1986.84,0.48057,1092993457.0,0.43697,604999.9999588211,604999.9999588211,,425587.0,-2.30316,2025-08-22T21:34:07.955Z,120428.0,245.2549,2025-04-09T01:32:41.942Z,,2025-08-24T07:23:01.147Z
internet-computer,icp,Internet Computer,https://coin-images.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1696514180,460.47,247456296641,53,247456310074,3552673314.0,477.91,460.05,-12.931636232561232,-2.73166,-6988398477.028778,-2.74653,537341363.7776278,537341392.9455229,,51433.0,-99.10462,2021-05-10T16:05:53.653Z,237.38,93.99776,2023-09-22T00:29:57.369Z,,2025-08-24T07:23:00.905Z
pi-network,pi,Pi Network,https://coin-images.coingecko.com/coins/images/54342/large/pi_network.jpg?1739347576,31.13,247139641710,54,380205401801,3039893431.0,31.74,31.13,-0.6112134084924925,-1.92576,-3839459516.249695,-1.52979,7934944308.757861,12207303807.29061,100000000000.0,260.4,-88.03196,2025-02-26T16:41:03.732Z,29.41,5.97295,2025-08-06T04:10:50.759Z,,2025-08-24T07:23:00.734Z
usd1-wlfi,usd1,USD1,https://coin-images.coingecko.com/coins/images/54977/large/USD1_1000x1000_transparent.png?1749297002,87.29,216487368930,55,216487368930,19154881975.0,87.38,87.2,0.01144864,0.01312,4736030113.0,2.2366,2481295631.783896,2481295631.783896,,88.0,-0.81745,2025-08-05T02:26:07.801Z,83.75,4.22299,2025-05-02T03:46:49.689Z,,2025-08-24T07:23:01.112Z
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,https://coin-images.coingecko.com/coins/images/36291/large/blackrock.png?1711013223,87.33,208763099522,56,208763099522,,87.33,87.33,0.0,0.0,-6.103515625e-05,0.0,2390501567.583853,2390501567.583853,,88.04,-0.80955,2025-08-05T02:40:01.785Z,83.81,4.20576,2025-05-02T06:30:16.890Z,,2025-08-24T07:20:08.560Z
kaspa,kas,Kaspa,https://coin-images.coingecko.com/coins/images/25751/large/kaspa-icon-exchanges.png?1696524837,7.74,204155718784,57,206092561029,2745053201.0,7.99,7.73,-0.24081165586270892,-3.01557,-6533664841.338135,-3.10109,26363807936.34678,26613923569.89077,28704026601.0,17.36,-55.49321,2024-08-01T00:40:47.164Z,0.01327337,58111.66754,2022-05-26T14:42:59.316Z,,2025-08-24T07:23:01.399Z
